each_cy,pingyin,input_index,output_index
一毛不拔,"['yi', 'mao', 'bu', 'ba']",126,21
掩耳盗铃,"['yan', 'er', 'dao', 'ling']",41,16
囫囵吞枣,"['hu', 'lun', 'tun', 'zao']",18,4
朝三暮四,"['zhao', 'san', 'mu', 'si']",10,32
竭泽而渔,"['jie', 'ze', 'er', 'yu']",52,65
举一反三,"['ju', 'yi', 'fan', 'san']",38,35
青出于蓝,"['qing', 'chu', 'yu', 'lan']",15,7
含沙射影,"['han', 'sha', 'she', 'ying']",7,28
草木皆兵,"['cao', 'mu', 'jie', 'bing']",11,23
东窗事发,"['dong', 'chuang', 'shi', 'fa']",11,6
势如破竹,"['shi', 'ru', 'po', 'zhu']",144,19
沧海桑田,"['cang', 'hai', 'sang', 'tian']",4,32
夜郎自大,"['ye', 'lang', 'zi', 'da']",14,37
信口雌黄,"['xin', 'kou', 'ci', 'huang']",80,11
作法自毙,"['zuo', 'fa', 'zi', 'bi']",11,28
杞人忧天,"['qi', 'ren', 'you', 'tian']",63,32
不学无术,"['bu', 'xue', 'wu', 'shu']",17,30
走马看花,"['zou', 'ma', 'kan', 'hua']",2,24
杯弓蛇影,"['bei', 'gong', 'she', 'ying']",26,28
东山再起,"['dong', 'shan', 'zai', 'qi']",11,67
乐不思蜀,"['le', 'bu', 'si', 'shu']",2,30
滥竽充数,"['lan', 'yu', 'chong', 'shu']",9,30
功亏一篑,"['gong', 'kui', 'yi', 'kui']",17,3
入木三分,"['ru', 'mu', 'san', 'fen']",17,24
螳臂当车,"['tang', 'bi', 'dang', 'che']",3,6
咄咄逼人,"['duo', 'duo', 'bi', 'ren']",12,28
出类拔萃,"['chu', 'lei', 'ba', 'cui']",23,3
一窍不通,"['yi', 'qiao', 'bu', 'tong']",126,35
吹毛求疵,"['chui', 'mao', 'qiu', 'ci']",0,8
孤注一掷,"['gu', 'zhu', 'yi', 'zhi']",40,66
沧海一粟,"['cang', 'hai', 'yi', 'su']",4,9
痛心疾首,"['tong', 'xin', 'ji', 'shou']",29,33
扶摇直上,"['fu', 'yao', 'zhi', 'shang']",47,10
风声鹤唳,"['feng', 'sheng', 'he', 'li']",45,55
老当益壮,"['lao', 'dang', 'yi', 'zhuang']",17,14
未雨绸缪,"['wei', 'yu', 'chou', 'mou']",51,1
不共戴天,"['bu', 'gong', 'dai', 'tian']",17,32
刚愎自用,"['gang', 'bi', 'zi', 'yong']",4,7
出尔反尔,"['chu', 'er', 'fan', 'er']",23,15
目不识丁,"['mu', 'bu', 'shi', 'ding']",21,1
百折不挠,"['bai', 'zhe', 'bu', 'nao']",3,3
拾人牙慧,"['shi', 'ren', 'ya', 'hui']",144,22
耳濡目染,"['er', 'ru', 'mu', 'ran']",20,3
杯水车薪,"['bei', 'shui', 'che', 'xin']",26,81
车载斗量,"['che', 'zai', 'dou', 'liang']",17,16
燃眉之急,"['ran', 'mei', 'zhi', 'ji']",33,62
言不由衷,"['yan', 'bu', 'you', 'zhong']",41,33
不伦不类,"['bu', 'lun', 'bu', 'lei']",17,10
虎头蛇尾,"['hu', 'tou', 'she', 'wei']",18,44
空中楼阁,"['kong', 'zhong', 'lou', 'ge']",13,20
天经地义,"['tian', 'jing', 'di', 'yi']",39,263
心猿意马,"['xin', 'yuan', 'yi', 'ma']",80,13
群策群力,"['qun', 'ce', 'qun', 'li']",8,55
有备无患,"['you', 'bei', 'wu', 'huan']",26,19
裹足不前,"['guo', 'zu', 'bu', 'qian']",7,64
战战兢兢,"['zhan', 'zhan', 'jing', 'jing']",18,48
借花献佛,"['jie', 'hua', 'xian', 'fo']",52,0
故步自封,"['gu', 'bu', 'zi', 'feng']",40,52
笑里藏刀,"['xiao', 'li', 'cang', 'dao']",17,23
水到渠成,"['shui', 'dao', 'qu', 'cheng']",22,17
芒刺在背,"['mang', 'ci', 'zai', 'bei']",3,29
开门见山,"['kai', 'men', 'jian', 'shan']",12,12
土崩瓦解,"['tu', 'beng', 'wa', 'jie']",18,44
东施效颦,"['dong', 'shi', 'xiao', 'pin']",11,1
从善如流,"['cong', 'shan', 'ru', 'liu']",9,21
袖手旁观,"['xiu', 'shou', 'pang', 'guan']",21,11
因势利导,"['yin', 'shi', 'li', 'dao']",12,23
畏首畏尾,"['wei', 'shou', 'wei', 'wei']",51,44
名不虚传,"['ming', 'bu', 'xu', 'chuan']",29,7
丧心病狂,"['sang', 'xin', 'bing', 'kuang']",2,1
见异思迁,"['jian', 'yi', 'si', 'qian']",40,64
明察秋毫,"['ming', 'cha', 'qiu', 'hao']",29,17
作威作福,"['zuo', 'wei', 'zuo', 'fu']",11,53
两袖清风,"['liang', 'xiu', 'qing', 'feng']",17,52
明目张胆,"['ming', 'mu', 'zhang', 'dan']",29,23
肝胆相照,"['gan', 'dan', 'xiang', 'zhao']",13,9
民不聊生,"['min', 'bu', 'liao', 'sheng']",2,29
明哲保身,"['ming', 'zhe', 'bao', 'shen']",29,46
妄自菲薄,"['wang', 'zi', 'fei', 'bo']",12,9
泥牛入海,"['ni', 'niu', 'ru', 'hai']",4,22
休戚相关,"['xiu', 'qi', 'xiang', 'guan']",21,11
重整旗鼓,"['chong', 'zheng', 'qi', 'gu']",4,44
唇亡齿寒,"['chun', 'wang', 'chi', 'han']",7,30
文过饰非,"['wen', 'guo', 'shi', 'fei']",30,11
别出心裁,"['bie', 'chu', 'xin', 'cai']",0,7
大公无私,"['da', 'gong', 'wu', 'si']",15,32
