[204,3200],[25,3364],[566,3955],[745,3791]
[497,1764],[289,1885],[689,2568],[897,2447]
[795,3874],[664,4068],[1319,4509],[1449,4315]
[926,2481],[767,2656],[1347,3181],[1506,3005]
[942,3527],[796,3722],[1435,4198],[1580,4002]
[1358,5298],[1285,5526],[2043,5766],[2116,5537]
[1623,4035],[1540,4257],[2280,4533],[2363,4310]
[1660,4443],[1607,4671],[2380,4851],[2433,4622]
[1714,5051],[1698,5289],[2500,5340],[2515,5102]
[1940,2953],[1858,3174],[2602,3451],[2684,3230]
[2043,3862],[1977,4093],[2737,4313],[2804,4082]
[2161,5527],[2156,5764],[2950,5781],[2955,5545]
[2364,3702],[2322,3938],[3097,4077],[3140,3841]
[2524,4595],[2505,4832],[3304,4897],[3323,4659]
[2573,5126],[2567,5367],[3368,5386],[3374,5145]
[2811,2274],[2655,2459],[3260,2973],[3417,2788]
[2853,4105],[2816,4333],[3591,4459],[3628,4230]
[2874,1829],[2700,1985],[3225,2571],[3399,2415]
[3155,6247],[3147,6011],[2334,6039],[2343,6275]
[3194,3855],[3172,4092],[3969,4166],[3991,3929]
[3299,3078],[3244,3308],[4016,3495],[4072,3264]
[3314,1983],[3207,2195],[3916,2552],[4023,2340]
[3422,2462],[3350,2689],[4110,2932],[4182,2705]
[3435,2794],[3388,3030],[4180,3187],[4227,2951]
[3499,1644],[3400,1857],[4115,2191],[4215,1978]
[3545,3559],[3536,3802],[4340,3833],[4349,3590]
[3834,5732],[3822,5503],[3057,5543],[3069,5772]
[4020,6091],[3975,5854],[3199,6002],[3244,6239]
[4057,2335],[4030,2564],[4819,2657],[4846,2429]
[4084,5888],[4075,6121],[4874,6151],[4883,5918]
[4114,3284],[4111,3526],[4914,3537],[4918,3295]
[4187,6557],[4165,6330],[3362,6408],[3384,6634]
[4192,4893],[4189,4638],[3400,4646],[3402,4901]
[4241,1984],[4225,2221],[5027,2276],[5043,2038]
[4254,6329],[4245,6563],[5043,6594],[5052,6360]
[4254,5315],[4235,5081],[3434,5147],[3454,5381]
[4424,1616],[4377,1849],[5145,2004],[5193,1771]
[4467,4466],[4464,4206],[3701,4214],[3704,4475]
[4700,5701],[4697,5461],[3917,5469],[3920,5709]
